similarity,left_category,left_concept,left_attribute_role,left_value_family,right_concept,right_attribute_role,right_value_family,manual_same_attribute,manual_notes
0.797497034072876,Канцелярские товары,package_quantity,количество карандашей. шт,count,package_quantity,комплектация,count,,
0.9526025056838989,Красота и гигиена,package_quantity,комплектация,count,package_quantity,количество в упаковке. шт | комплектация,count,,
0.940796971321106,Строительство и ремонт,color,цвет плафона,text,color,цвет,text,,
0.8846108317375183,Строительство и ремонт,diameter,диаметр сверла,length,outer_diameter,внешний диаметр. мм | диаметр. мм,length,,
0.8353938460350037,Детские товары,product_type,жанры/тематика | тип,text,product_type,тип | тип куклы,text,,
0.9119539260864258,Продукты питания,net_weight,из названия товара,mass,weight_net,вес товара без упаковки г | вес товара. г,mass,,
0.9142938256263733,Канцелярские товары,color,тип | цвет товара,text,color,название цвета | цвет товара,text,,
0.8878701329231262,Строительство и ремонт,diameter,входная резьба | диаметр,length,diameter,диаметр,length,,
0.9672560095787048,Бытовая химия,volume,объем | объем. мл,volume,volume,комплектация | объем мл,volume,,
0.8564125299453735,Автотовары,vehicle_model,вид техники | модель автомобиля,numeric,compatible_vehicle_model,модель,numeric,,
0.8407794833183289,Автотовары,car_model_generation,из названия товара,numeric,car_model,совместимость,numeric,,
0.8014629483222961,Канцелярские товары,age_range,минимальный возраст | минимальный возраст ребенка,age,target_age_group,возрастная группа | пол ребенка,age,,
0.767947256565094,Товары для животных,volume,объем мл | объем. мл,volume,volume_unit,объем наполнителя для животных | объем. л,volume,,
0.7841134071350098,Бытовая химия,intended_surface,назначение чистящего средства для ванной и туалета,text,surface_type,назначение моющего. чистящего средства,text,,
0.9120105504989624,Строительство и ремонт,guarantee,гарантийный срок | гарантия,duration,guarantee_period,гарантийный срок | гарантия,duration,,
0.8251169919967651,Детские товары,material,материал | материал внешний,text,material_detail,из названия товара,text,,
0.8925464749336243,Электроника,color,цвет картриджа/чернил | цветность,text,color,название цвета | цвет,text,,
0.8749414682388306,Красота и гигиена,bristle_stiffness,из названия товара,text,bristle_hardness,жесткость щетины,text,,
0.9276062846183777,Канцелярские товары,marker_type,вид маркера,text,marker_type,из названия товара,text,,
0.9652843475341797,Бытовая химия,quantity,количество в упаковке. шт | комплектация,count,quantity,количество в упаковке. шт.,count,,
0.8622873425483704,Галантерея и аксессуары,material,браслет/ремешок | материал,text,material,материал | состав ювелирного изделия,text,,
0.9849082231521606,Строительство и ремонт,length,длина предмета | длина. см,length,length,длина предмета | длина. мм,length,,
0.8314331769943237,Бытовая химия,weight_with_packaging,вес товара с упаковкой г | объем. мл,mass,weight,вес в транспортной упаковке | вес товара. г,mass,,
0.946713924407959,Дом и сад,package_contents,комплектация | состав комплекта,count,package_contents,комплектация,count,,
0.9461603164672852,Хобби и творчество,color,особенности | цвет товара,text,color,тематика | цвет товара,text,,
0.9150172472000122,Дом и сад,material,вид выпуска товара | материал,text,material,материал | материал корпуса,text,,
0.8822938203811646,Спорт и отдых,color,название цвета | цвет,numeric,color,цвет товара,numeric,,
0.8726489543914795,Бытовая химия,purpose,назначение стирального средства,text,purpose,материал обработки | назначение моющего. чистящего средства,text,,
0.8756502866744995,Строительство и ремонт,length,длина. в миллиметрах,length,length,длина,length,,
0.8898749947547913,Дом и сад,length,длина,length,length,длина предмета | длина. м,length,,
0.9347308278083801,Строительство и ремонт,quantity,количество предметов в упаковке,count,quantity,количество в упаковке,count,,
0.9791702032089233,Канцелярские товары,color_effect,эффект,text,color_effect,цветовые эффекты | эффект,text,,
0.8822938203811646,Красота и гигиена,color,цвет товара,numeric,color,название цвета | цвет,numeric,,
