threshold,target_label,candidate_centers_before_dedup,representative_rules,cross_split_rules,median_weighted_support,median_target_probability
0.65,0,1592,423,263,9.235316634178162,0.9033851750117983
0.65,1,419,166,93,5.74739670753479,0.8795587408617367
0.7,0,1570,435,274,7.568365037441254,0.9178042222987733
0.7,1,428,169,98,5.522917449474335,0.8955103009834441
0.75,0,1539,449,272,6.981368005275726,0.932258233065199
0.75,1,417,166,86,5.578160285949707,0.8950886617301808
0.8,0,1476,457,287,6.6249343156814575,0.9570841732335299
0.8,1,441,181,94,5.522917449474335,0.902358247229379
0.85,0,1411,471,291,6.285672426223755,1.0
0.85,1,456,193,99,5.461974203586578,0.936693831215508
