category,attribute,conflict_0,conflict_1,equal_0,equal_1,conflicts,equals,negative_rate_given_conflict,category_negative_rate,smoothed_negative_rate,negative_lift,candidate
Детские товары,кол-во колес,20,0,0,0,20,0,1.0,0.43993731541197034,0.8879874630823941,0.4480501476704237,True
Детские товары,система амортизации,51,4,6,5,55,11,0.9272727272727272,0.43993731541197034,0.8866614429509975,0.4467241275390271,True
Детские товары,количество скоростей велосипеда,43,3,0,0,46,0,0.9347826086956522,0.43993731541197034,0.8862683642560755,0.4463310488441051,True
Детские товары,материал обода,32,2,16,3,34,19,0.9411764705882353,0.43993731541197034,0.8769150404374321,0.4369777250254617,True
Детские товары,материал рамы,49,5,72,10,54,82,0.9074074074074074,0.43993731541197034,0.8677912979162686,0.4278539825042983,True
Детские товары,марка автомобиля,42,5,41,9,47,50,0.8936170212765957,0.43993731541197034,0.8499939726357664,0.41005665722379603,True
Хобби и творчество,"длина, см",52,1,23,11,53,34,0.9811320754716981,0.5357526560821296,0.9427372979381147,0.40698464185598504,True
Детские товары,конструкция рулевой колонки,18,2,1,0,20,1,0.9,0.43993731541197034,0.807987463082394,0.36805014767042366,True
Хобби и творчество,цвет товара,836,109,387,201,945,588,0.8846560846560847,0.5357526560821296,0.8828197508214849,0.34706709473935526,True
Хобби и творчество,материал холста,26,2,25,2,28,27,0.9285714285714286,0.5357526560821296,0.8690534327397167,0.33330077665758706,True
Красота и гигиена,изгиб ресниц,622,18,127,23,640,150,0.971875,0.6360183767228178,0.9692714602846729,0.3332530835618551,True
Хобби и творчество,размер бисера,111,15,0,0,126,0,0.8809523809523809,0.5357526560821296,0.8677768189344325,0.33202416285230285,True
Хобби и творчество,тип холста,24,2,15,0,26,15,0.9230769230769231,0.5357526560821296,0.8606052671100209,0.3248526110278913,True
Канцелярские товары,особенности,23,0,4,0,23,4,1.0,0.6597844514410269,0.9392472234716119,0.279462772030585,True
Канцелярские товары,форма наконечника,83,6,0,0,89,0,0.9325842696629213,0.6597844514410269,0.9180736410340972,0.25828918959307023,True
Канцелярские товары,форма клапана,25,1,0,0,26,0,0.9615384615384616,0.6597844514410269,0.912868459909843,0.25308400846881607,True
Канцелярские товары,специальные отделения,47,4,3,0,51,3,0.9215686274509803,0.6597844514410269,0.8981950403072345,0.23841058886620758,True
Дом и сад,монтаж без сверления,104,2,18,1,106,19,0.9811320754716981,0.7369750932499097,0.9701340132094554,0.23315891995954563,True
Дом и сад,форма зеркала,35,0,2,0,35,2,1.0,0.7369750932499097,0.9671218866562388,0.23014679340632904,True
Красота и гигиена,цвет товара,457,72,128,59,529,187,0.8638941398865785,0.6360183767228178,0.8617604716921612,0.2257420949693434,True
Красота и гигиена,особенность оттенка,96,15,35,7,111,42,0.8648648648648649,0.6360183767228178,0.8550007921001214,0.21898241537730356,True
Спорт и отдых,"разрывная нагрузка, кг",46,1,6,3,47,9,0.9787234042553191,0.7404275591020069,0.9558103422213468,0.2153827831193399,True
Товары для животных,сезон,166,26,64,14,192,78,0.8645833333333334,0.6447764651378272,0.8590044788106048,0.21422801367277766,True
Дом и сад,артикул,66,3,0,1,69,1,0.9565217391304348,0.7369750932499097,0.9416875063006696,0.20471241305075982,True
Продукты питания,кухни мира,29,1,24,1,30,25,0.9666666666666667,0.7300237227333217,0.9328605318190459,0.2028368090857242,True
Товары для животных,пол животного,67,11,21,9,78,30,0.8589743589743589,0.6447764651378272,0.846070871393845,0.2012944062560178,True
Канцелярские товары,вид ручки,43,6,211,47,49,258,0.8775510204081632,0.6597844514410269,0.8573874492075025,0.1976029977664756,True
Дом и сад,застежка пододеяльника,167,11,0,0,178,0,0.9382022471910112,0.7369750932499097,0.9327042375204893,0.19572914427057952,True
Дом и сад,режим стирки,194,13,1,0,207,1,0.9371980676328503,0.7369750932499097,0.9324758276709884,0.19550073442107863,True
Музыкальные инструменты,количество струн,147,3,1450,248,150,1698,0.98,0.7780700705488461,0.9734861313080273,0.19541606075918116,True
Спорт и отдых,"ход вилки, мм",29,1,36,8,30,44,0.9666666666666667,0.7404275591020069,0.9343467941574295,0.19391923505542263,True
Товары для животных,цвет товара,439,85,548,160,524,708,0.8377862595419847,0.6447764651378272,0.8359619703699228,0.19118550523209565,True
Товары для животных,вид шлейки,31,5,45,10,36,55,0.8611111111111112,0.6447764651378272,0.83472883721193,0.18995237207410287,True
Дом и сад,фактура материала,38,2,2,0,40,2,0.95,0.7369750932499097,0.9263305659166566,0.1893554726667469,True
Красота и гигиена,текстура,235,51,91,26,286,117,0.8216783216783217,0.6360183767228178,0.8184882882598422,0.1824699115370244,True
Продукты питания,вид декора для выпечки,311,29,1,1,340,2,0.9147058823529411,0.7300237227333217,0.9120293293149757,0.182005606581654,True
Спорт и отдых,количество нитей,118,9,0,0,127,0,0.9291338582677166,0.7404275591020069,0.9219858923902275,0.18155833328822069,True
Строительство и ремонт,подключение полотенцесушителя,26,0,1,1,26,2,1.0,0.7837222870478413,0.9651164979109421,0.1813942108631008,True
Спорт и отдых,"вес, г",135,11,169,31,146,200,0.9246575342465754,0.7404275591020069,0.918557203943775,0.1781296448417682,True
Строительство и ремонт,головка,22,0,82,7,22,89,1.0,0.7837222870478413,0.9599485716755262,0.17622628462768486,True
Канцелярские товары,механизм подачи стержня,127,24,44,8,151,52,0.8410596026490066,0.6597844514410269,0.8352495016487509,0.17546505020772396,True
Дом и сад,состав комплекта,40,3,0,0,43,0,0.9302325581395349,0.7369750932499097,0.9101015722135323,0.17312647896362254,True
Строительство и ремонт,"длина, м",20,0,12,2,20,14,1.0,0.7837222870478413,0.9567444574095683,0.17302217036172696,True
Электроника,чипсет,1277,0,418,7,1277,425,1.0,0.8267152121970645,0.9993241622940604,0.17260895009699595,True
Канцелярские товары,цвет товара,1118,227,536,300,1345,836,0.8312267657992565,0.6597844514410269,0.8305917942645963,0.17080734282356935,True
Электроника,оперативная память,204,0,210,30,204,240,1.0,0.8267152121970645,0.9958544309138053,0.16913921871674087,True
Товары для животных,материал,585,133,190,109,718,299,0.8147632311977716,0.6447764651378272,0.8135876657340099,0.1688112005961827,True
Канцелярские товары,бумага,87,17,8,7,104,15,0.8365384615384616,0.6597844514410269,0.8284304794239004,0.16864602798287343,True
Спорт и отдых,конструкция вилки,159,15,75,16,174,91,0.9137931034482759,0.7404275591020069,0.9089504904777096,0.16852293137570273,True
Товары для животных,вид ошейника,35,7,15,7,42,22,0.8333333333333334,0.6447764651378272,0.813274092035939,0.16849762689811187,True
Строительство и ремонт,тип помещения,37,1,0,0,38,0,0.9736842105263158,0.7837222870478413,0.9515956147730048,0.1678733277251635,True
Спорт и отдых,материал рамы,342,34,253,41,376,294,0.9095744680851063,0.7404275591020069,0.9073546923766668,0.1669271332746599,True
Электроника,тип памяти,600,3,1468,23,603,1491,0.9950248756218906,0.8267152121970645,0.9936407501003048,0.16692553790324038,True
Строительство и ремонт,марка стали,36,1,65,4,37,69,0.972972972972973,0.7837222870478413,0.9504431294104573,0.16672084236261597,True
Электроника,видеокарта,1828,12,145,3,1840,148,0.9934782608695653,0.8267152121970645,0.9930263284883389,0.16631111629127449,True
Строительство и ремонт,цвет товара,1340,72,713,106,1412,819,0.9490084985835694,0.7837222870478413,0.948425272713648,0.16470298566580666,True
Дом и сад,размер простыни,613,67,25,3,680,28,0.9014705882352941,0.7369750932499097,0.9002698911916052,0.16329479794169544,True
Дом и сад,размер пододеяльника,665,73,27,5,738,32,0.9010840108401084,0.7369750932499097,0.8999796439653426,0.16300455071543285,True
Спорт и отдых,плавучесть,1009,107,81,19,1116,100,0.9041218637992832,0.7404275591020069,0.9033917375517484,0.16296417844974154,True
Дом и сад,оформление,35,3,116,4,38,120,0.9210526315789473,0.7369750932499097,0.8996482666569663,0.16267317340705656,True
Галантерея и аксессуары,артикул,149,0,0,0,149,0,1.0,0.8319352378717663,0.9945433518789535,0.16260811400718722,True
Спорт и отдых,"длина, мм",27,2,16,8,29,24,0.9310344827586207,0.7404275591020069,0.9030040528091187,0.1625764937071118,True
Строительство и ремонт,материал сверла,32,1,8,0,33,8,0.9696969696969697,0.7837222870478413,0.9452266167168212,0.16150432966897987,True
Спорт и отдых,модельный год,161,17,69,14,178,83,0.9044943820224719,0.7404275591020069,0.9000116819426778,0.15958412284067092,True
Товары для животных,основной ингредиент,217,52,251,75,269,326,0.8066914498141264,0.6447764651378272,0.8037367968090845,0.15896033167125734,True
Строительство и ремонт,материал поддона,30,1,32,4,31,36,0.967741935483871,0.7837222870478413,0.9421836509788668,0.1584613639310255,True
Строительство и ремонт,высота поддона,30,1,5,0,31,5,0.967741935483871,0.7837222870478413,0.9421836509788668,0.1584613639310255,True
Продукты питания,вид муки,23,2,37,24,25,61,0.92,0.7300237227333217,0.8883372871222204,0.15831356438889865,True
