attribute_name,item_support,occurrences,cumulative_occurrence_coverage,is_frequent
тип,145939,145939,0.048704145153630696,True
бренд,121862,121862,0.0893730858529074,True
страна-изготовитель,94367,94367,0.12086613476863704,True
комплектация,88624,88624,0.15044257533692493,True
цвет товара,85928,85928,0.1791192812535146,True
валюта,54916,54916,0.19744636883981287,True
страна производства,51019,51019,0.2144729126806853,True
пол,44608,44608,0.22935991688801274,True
материал,39991,39991,0.24270609213135994,True
состав,37797,37797,0.25532006491705656,True
цвет,35097,35097,0.26703296813317406,True
"вес товара, г",34264,34264,0.27846787470060297,True
название цвета,33922,33922,0.2897886457892185,True
гарантийный срок,32359,32359,0.3005877977158888,True
артикул,31412,31412,0.31107090783426594,True
коллекция,28201,28201,0.3204824126237844,True
длина упаковки,24380,24380,0.3286187371076134,True
высота упаковки,24338,24338,0.3367410449536934,True
ширина упаковки,24331,24331,0.34486101669348185,True
упаковка,23943,23943,0.3528515013988271,True
единиц в одном товаре,23074,23074,0.36055197519455595,True
сезон,22312,22312,0.3679981471339814,True
целевая аудитория,21893,21893,0.37530448642538694,True
особенности,19206,19206,0.3817140946303262,True
российский размер,18066,18066,0.38774325123922093,True
назначение,17027,17027,0.39342566292856285,True
модель,15603,15603,0.3986328438523194,True
бренд в одежде и обуви,14049,14049,0.40332140917936254,True
материал корпуса,13522,13522,0.40783409907560275,True
срок годности,13018,13018,0.4121785893188548,True
"размеры, мм",12598,12598,0.4163829131846168,True
размер производителя,12366,12366,0.42050981181328906,True
"ширина, см",12127,12127,0.42455694909858,True
вид выпуска товара,11625,11625,0.4284365541898233,True
проба,11557,11557,0.43229346567709204,True
стиль,11549,11549,0.43614770732859903,True
"высота, см",11286,11286,0.43991417812943967,True
вид застежки,10870,10870,0.443541817470671,True
вставка,10836,10836,0.4471581100099151,True
артикул производителя,10822,10822,0.4507697303365762,True
код товара,10701,10701,0.4543409693973413,True
срок годности в днях,10344,10344,0.4577930670372399,True
размер,9935,9935,0.4611086693238207,True
условия хранения,9713,9713,0.46435018366801395,True
вес товара с упаковкой (г),9592,9592,0.46755131674631123,True
количество в упаковке,9158,9158,0.4706076112345354,True
материал верха,9023,9023,0.47361885224428063,True
пол ребенка,8778,8778,0.4765483295338233,True
материал изделия,8607,8607,0.4794207390839593,True
"объем, мл",8549,8549,0.4822737923248229,True
"глубина, см",8212,8212,0.4850143787342242,True
вес,7616,7616,0.48755606237937765,True
количество предметов в упаковке,7460,7460,0.49004568422717765,True
ширина предмета,7197,7197,0.4924475352243113,True
минимальный возраст ребенка,7155,7155,0.49483536958369584,True
материал стельки,7128,7128,0.49721419324738464,True
вес товара без упаковки (г),6956,6956,0.49953561544219655,True
оптическая сила,6940,6940,0.501851697965485,True
высота предмета,6927,6927,0.5041634420056608,True
состав материала,6698,6698,0.5063987619971573,True
страна-производитель,6651,6651,0.5086183967035538,True
особенности модели,6628,6628,0.5108303556321353,True
материал линз,6573,6573,0.5130239594398551,True
ширина,6523,6523,0.5152008767740641,True
форма оправы,6496,6496,0.5173687834125774,True
покрытие линз,6382,6382,0.5194986448914862,True
"количество в упаковке, шт",6265,6265,0.5215894600223799,True
партномер,6212,6212,0.5236625874913522,True
вес с упаковкой (кг),6172,6172,0.525722365781516,True
форма поставки,6137,6137,0.5277704635402223,True
декоративные элементы,6114,6114,0.5298108855211136,True
максимальная температура,6099,6099,0.5318463015599517,True
минимальная температура,6012,6012,0.5338526831348811,True
"средний вес изделия, гр",5988,5988,0.5358510552025254,True
тип упаковки одежды,5962,5962,0.5378407503039441,True
возраст животного,5900,5900,0.5398097541782095,True
дополнительная информация,5530,5530,0.5416552781484956,True
конструкция,5527,5527,0.543499800930371,True
материал подошвы,5504,5504,0.5453366479344315,True
предназначено для,5452,5452,0.5471561410060408,True
высота,5425,5425,0.5489666233819543,True
страна бренда,5423,5423,0.5507764382989275,True
образец цвета,5357,5357,0.5525642270708665,True
вес в транспортной упаковке,5311,5311,0.5543366642871755,True
габариты транспортной упаковки,5311,5311,0.5561091015034846,True
партномер (артикул производителя),5298,5298,0.557877200236681,True
состав ювелирного изделия,5260,5260,0.5596326172500091,True
материал подкладки,5224,5224,0.5613760200024095,True
длина,5188,5188,0.5631074084938822,True
стиль дизайна,5087,5087,0.5648050903088633,True
размер животного,5085,5085,0.5665021046649039,True
размер изделия,5007,5007,0.5681730881222677,True
"вес, кг",5002,5002,0.5698424029322806,True
рост модели на фото,4991,4991,0.571508046718121,True
"размер упаковки (длина х ширина х высота), см",4957,4957,0.5731623437019743,True
назначение (помещение),4949,4949,0.5748139708500657,True
"длина, см",4932,4932,0.5764599245971636,True
материал обивки,4623,4623,0.578002755937965,True
покрытие,4606,4606,0.5795399138777729,True
форма,4503,4503,0.5810426976821487,True
гарантия,4451,4451,0.5825281275540733,True
материал оправы,4319,4319,0.5839695051359297,True
размер на модели,4293,4293,0.5854022057515604,True
максимальный возраст ребенка,4264,4264,0.586825228212555,True
материал подошвы обуви,4261,4261,0.5882472494851388,True
не содержит,4017,4017,0.5895878407669904,True
материал подкладки обуви,4004,4004,0.5909240935657292,True
"ширина линзы, мм",3896,3896,0.5922243035816848,True
"размер моста на переносице, мм",3882,3882,0.5935198413850574,True
"размер заушника, мм",3876,3876,0.5948133768116087,True
внутренний материал,3832,3832,0.5960922281414706,True
"длина, мм",3800,3800,0.5973604001282856,True
вид замка,3792,3792,0.5986259022793389,True
ширина линзы,3720,3720,0.5998673759085368,True
российский размер (обуви),3669,3669,0.6010918293347537,True
"высота линзы, мм",3635,3635,0.6023049359589833,True
вид принта,3630,3630,0.6035163739358619,True
о драгоценном металле,3629,3629,0.6047274781832702,True
тематика,3621,3621,0.6059359125949169,True
материал оправы очков,3541,3541,0.6071176486489464,True
глубина предмета,3533,3533,0.608296714867214,True
"общая ширина, мм",3513,3513,0.6094691064960776,True
уход за вещами,3513,3513,0.610641498124941,True
конструкция очков,3501,3501,0.6118098850001619,True
исполнение,3499,3499,0.6129776044164423,True
тип управления,3498,3498,0.6141449901032525,True
аромат,3492,3492,0.6153103734132415,True
высота линзы,3492,3492,0.6164757567232305,True
расстояние между оптическими центрами,3483,3483,0.6176381364679875,True
стиль оправы,3471,3471,0.618796511459102,True
цвет оправы,3437,3437,0.6199435396482291,True
вид животного,3401,3401,0.6210785535764286,True
"вес, г",3357,3357,0.6221988834079386,True
наличие флексов,3331,3331,0.623310536273223,True
форма выпуска,3297,3297,0.6244108423365201,True
"ширина, мм",3284,3284,0.6255068099167045,True
объем товара,3262,3262,0.6265954354485441,True
форма лица,3246,3246,0.6276787213088603,True
вид,3245,3245,0.6287616734397062,True
"макс. нагрузка, кг",3211,3211,0.629833278768565,True
ориентация,3117,3117,0.6308735135272234,True
диоптрии,3079,3079,0.6319010665660139,True
рисунок,3076,3076,0.6329276184163936,True
межцентровое расстояние,3074,3074,0.6339535028078329,True
детские украшения,3067,3067,0.6349770510929807,True
объем,3038,3040,0.6359915886824327,True
